Family,pathogen_species,Disease,Reservoir_order,spill_type,Reservoir_spill_notes,Reservoir_spill_reference,CFR_low,CFR_high,CFR_avg,CFR_notes,CFR_reference,transmissibility,transmissibility_notes,transmissibility_reference,transmission_route_primary,transmission_route_notes,transmission_route_reference,Cell,cell_notes,cell_reference,Synonym,Type,Motility,Spore,PubMed.records.log
Herpesviridae,Human alphaherpesvirus 2,Genital herpes,Primates,not_zoonotic,NA,NA,0,0,0,NA,NA,4,NA,NA,skin_contact,NA,NA,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,"HSV2; Herpes simplex virus 2; Human herpesvirus 2, etc.",Virus,NA,NA,0.30103
Picornaviridae,Enterovirus A,"Hand, foot and mouth disease",Primates,direct,data from Guth et al.,Guth et al.,0,0,0,1,20,1,data from Guth et al.,Guth et al.,skin_contact,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,"Human enterovirus A; Human coxsackievirus A; Enterovirus EV-A, etc.",Virus,NA,NA,2.049218
Bunyaviridae,Andes hantavirus,Hantavirus cardiopulmonary syndrome,Rodentia,direct,data from Guth et al.,Guth et al.,0.25,0.37,0.31,1,18,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Andes virus,Virus,NA,NA,1.579784
Bunyaviridae,Bayou hantavirus,Hantavirus cardiopulmonary syndrome,Rodentia,direct,data from Guth et al.,Guth et al.,0.2,0.2,0.2,1,51,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Bayou virus,Virus,NA,NA,0.778151
Bunyaviridae,Dobrava-Belgrade hantavirus,Hantavirus cardiopulmonary syndrome,Rodentia,direct,data from Guth et al.,Guth et al.,0.12,0.12,0.12,1,26,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Dobravavirus; Dobrava-Belgrade virus; Dobrava virus,Virus,NA,NA,1.20412
Bunyaviridae,Laguna Negra hantavirus,Hantavirus cardiopulmonary syndrome,Rodentia,direct,data from Guth et al.,Guth et al.,0.15,0.15,0.15,1,19,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Laguna Negra virus,Virus,NA,NA,0.477121
Bunyaviridae,Sin Nombre hantavirus,Hantavirus cardiopulmonary syndrome,Rodentia,direct,data from Guth et al.,Guth et al.,0.380952,0.380952,0.380952,1,1,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Sin Nombre virus,Virus,NA,NA,1.690196
Bunyaviridae,Seoul hantavirus,Hemorrhagic fever with renal syndrome,Rodentia,direct,data from Guth et al.,Guth et al.,0,0,0,1,69,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Seoul virus; Epidemic hemorrhagic fever virus,Virus,NA,NA,1.579784
Bunyaviridae,Tula hantavirus,Hemorrhagic fever with renal syndrome,Rodentia,direct,data from Guth et al.,Guth et al.,0,0,0,1,68,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Tula virus,Virus,NA,NA,1.643453
Paramyxoviridae,Hendra henipavirus,Hendra henipavirus,Chiroptera,bridged,data from Guth et al.,Guth et al.,0.571429,0.571429,0.571429,,CDC Hendra Fact Sheet,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,2.982723
Picornaviridae,Hepatovirus A,Hepatitis A,Primates,not_zoonotic,NA,https://www.cdc.gov/vaccines/pubs/pinkbook/hepa.html,0.003,0.8,0.415,"Fulminant hepatitis is the most severe rare complication, with mortality estimates up to 80%. Overall case-fatality estimates range from 0.3% to 0.6% for all ages and up to 1.8% among adults age 50 years or older.","https://www.cdc.gov/vaccines/pubs/pinkbook/hepa.html#:~:text=Overall%20case%2Dfatality%20estimates%20range,rates%20can%20be%20significantly%20higher.",4,HAV infection is acquired primarily by the fecal-oral route by either ingestion of contaminated food or water or direct contact with an infectious person,https://www.cdc.gov/vaccines/pubs/pinkbook/hepa.html,bodily_fluids,HAV infection is acquired primarily by the fecal-oral route by either ingestion of contaminated food or water or direct contact with an infectious person.,https://www.cdc.gov/vaccines/pubs/pinkbook/hepa.html,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Hepatitis A virus,Virus,NA,NA,0.60206
Flaviviridae,Hepatitis C virus,Hepatitis C,Primates,not_zoonotic,The large reservoir of individuals infected with HCV provides a source of transmission to others,https://doh.sd.gov/diseases/infectious/diseasefacts/hepatitis-c.aspx,3.72E-05,3.72E-05,3.72E-05,,"https://www.cdc.gov/hepatitis/policy/NPR/2020/NationalProgressReport-HepC-ReduceDeaths.htm#:~:text=The%20age%2Dadjusted%20hepatitis%20C%2Drelated%20mortality%20rate%20decreased%20from,2018%20target%20rate%20of%203.94.",4,Injection-drug use (currently the most common mode of HCV transmission in the United States),https://www.cdc.gov/hepatitis/hcv/hcvfaq.htm#b1,bodily_fluids,,https://www.cdc.gov/hepatitis/hcv/hcvfaq.htm#b1,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Post-transfusion hepatitis non A non B virus; Human hepatitis C virus; Hepatitis C virus HCV,Virus,NA,NA,4.720259
Flaviviridae,Ilheus virus,Ilheus virus,Aves,direct,data from Guth et al.,Guth et al.,0,0,0,,Johnson et al. 2007,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.919078
Flaviviridae,Ilheus virus,Ilheus virus,Aves,direct,data from Guth et al.,Guth et al.,0,0,0,,Johnson et al. 2007,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.919078
Flaviviridae,Ilheus virus,Ilheus virus,Aves,direct,data from Guth et al.,Guth et al.,0,0,0,,Johnson et al. 2007,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.919078
Herpesviridae,Human gammaherpesvirus 4,Infectious mononucleosis; Glandular fever,Primates,not_zoonotic,,"https://www.ncbi.nlm.nih.gov/books/NBK304353/#:~:text=1.1.,-4%20Host%20range&text=Although%20herpesviruses%20are%20ubiquitous%20in,their%20own%20EBV%2Dlike%20virus.",NA,NA,NA,NA,NA,4,data from Guth et al.,https://www.cdc.gov/epstein-barr/about-ebv.html,bodily_fluids,"EBV spreads most commonly through bodily fluids, especially saliva. However, EBV can also spread through blood and semen during sexual contact, blood transfusions, and organ transplantations.",https://www.cdc.gov/epstein-barr/about-ebv.html,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,"CIEBOV; Ivory Coast ebolavirus; Cote d'Ivoire ebolavirus, etc.",Virus,NA,NA,0.30103
Orthomyxoviridae,Influenza A virus,Influenza,Aves,bridged,data from Guth et al.,Guth et al.,0.000205,0.000205,0.000205,8,1,1,data from Guth et al.,Guth et al.,respiratory_droplets,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Influenza virus type A; Human Influenza A Virus,Virus,NA,NA,4.026697
Rhabdoviridae,Irkut lyssavirus,Irkut lyssavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,1,1,1,,https://www.intechopen.com/books/encephalitis/the-fatal-case-of-lyssavirus-encephalitis-in-the-russian-far-east; https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0002097,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.875061
Rhabdoviridae,Irkut lyssavirus,Irkut lyssavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,1,1,1,,Warrell and Warrell 2017,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.875061
Flaviviridae,Japanese encephalitis virus,Japanese encephalitis,Aves,bridged,data from Guth et al.,Guth et al.,0.2,0.3,0.25,1,48,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Japanese encephalitis virus JEV; Japanese encephalitis virus JE; Japanese encephalitis (JE) virus,Virus,NA,NA,3.421768
Flaviviridae,Kokobera virus,Kokobera virus,Diprotodontia,direct,data from Guth et al.,Guth et al.,0,0,0,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6908948/; https://www.asid.net.au/documents/item/468;https://onlinelibrary.wiley.com/doi/epdf/10.5694/j.1326-5377.1986.tb101087.x,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.69897
Bunyaviridae,Hantaan hantavirus,Korean hemorrhagic fever,Rodentia,direct,data from Guth et al.,Guth et al.,0.05,0.15,0.1,1,18,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Korean hemorrhagic fever virus; Hantaan virus,Virus,NA,NA,0.477121
Flaviviridae,Kyasanur Forest disease virus,Kyasanur Forest disease,Primates,direct,data from Guth et al.,Guth et al.,0.03,0.05,0.04,1,30,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,2
Arenaviridae,Lassa mammarenavirus,Lassa fever; Lassa hemorrhagic fever,Rodentia,direct,data from Guth et al.,Guth et al.,0.01,0.01,0.01,1,28,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Lassa virus,Virus,NA,NA,0.30103
Flaviviridae,Louping ill virus,Louping-ill,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0.022222,0.022222,0.022222,1,37,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,LI,Virus,NA,NA,2.164353
Arenaviridae,Lujo mammarenavirus,Lujo mammarenavirus,Rodentia,direct,data from Guth et al.,Guth et al.,0.8,0.8,0.8,,https://www.cdc.gov/vhf/lujo/index.html,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,2.227887
Arenaviridae,Lymphocytic choriomeningitis mammarenavirus,Lymphocytic choriomeningitis,Rodentia,direct,data from Guth et al.,Guth et al.,0.01,0.01,0.01,1,1,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Lymphocytic choriomeningitis virus LCMV; Lymphocytic choriomeningitis virus,Virus,NA,NA,0.69897
Filoviridae,Marburg marburgvirus,Marburg hemorrhagic fever,Chiroptera,direct,data from Guth et al.,Guth et al.,0.809199,0.809199,0.809199,12,44,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,MBG; Lake Victoria marburgvirus; Marburg virus MBG,Virus,NA,NA,1.176091
Paramyxoviridae,Measles virus,Measles; Rubeola,Primates,not_zoonotic,"Measles is a human disease. There is no known animal reservoir,",CDC Chapter 13_ Measles; Epidemiology and Prevention of Vaccine-Preventable Diseases 14TH Edition 2021,0.157128,0.157128,0.157128,"Among the 961 measles cases identified, 151 (15.7 percent) died in the acute episode",Dollimore et al. 1997,4,Measles transmission occurs person-to-person via large respiratory droplets and via airborne transmission,CDC Chapter 13_ Measles; Epidemiology and Prevention of Vaccine-Preventable Diseases 14TH Edition 2021,respiratory_droplets,Measles transmission occurs person-to-person via large respiratory droplets and via airborne transmission,https://www.cdc.gov/vaccines/pubs/pinkbook/downloads/meas.pdf,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,"Subacute sclerosing panencephalitis virus; Rubeola virus; Rougeole virus, etc.",Virus,NA,NA,3.764176
Paramyxoviridae,Menangle pararubulavirus,Menangle pararubulavirus,Chiroptera,bridged,data from Guth et al.,Guth et al.,0,0,0,,Guth et al. 2019,1,data from Guth et al.,Guth et al.,unknown,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0
Coronaviridae,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,Chiroptera,bridged,data from Guth et al.,Guth et al.,0.344211,0.344211,0.344211,Total of 2574 confirmed cases and 886 deaths,http://www.emro.who.int/health-topics/mers-cov/mers-outbreaks.html,1,data from Guth et al.,Guth et al.,respiratory_droplets,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0
Poxviridae,Molluscum contagiosum virus,Molluscum contagiosum; Water warts,Primates,not_zoonotic,"Whereas only smallpox and molluscum contagiosumviruses have a human reservoir and are transmitted between humans, most poxvirus infectionsare zoonoses having only animal reservoirs.",G.Bohelay et al. 2019,0,0,0,Results in warts; disease is mild and should not be a reason for concern.,https://dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/molluscum-contagiosum.html,4,The virus can be spread from person to person. This can happen if the growths on one person are touched by another person. It can happen if the virus gets on an object that is touched by other people.,https://dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/molluscum-contagiosum.html,skin_contact,The virus can be spread from person to person. This can happen if the growths on one person are touched by another person. It can happen if the virus gets on an object that is touched by other people.,https://dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/molluscum-contagiosum.html,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,MOCV,Virus,NA,NA,2.383815
Poxviridae,Monkeypox virus,Monkeypox,Rodentia,direct,data from Guth et al.,Guth et al.,0,0.11,0.055,1,45,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Monkey pox virus,Virus,NA,NA,2.523746
Flaviviridae,Murray Valley encephalitis virus,Murray Valley encephalitis; Australian encephalitis,Aves,direct,data from Guth et al.,Guth et al.,0.15,0.3,0.225,1,60,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,2.30963
Reoviridae,Nelson Bay orthoreovirus,Nelson Bay orthoreovirus,Chiroptera,direct,data from Guth et al.,Guth et al.,0,0,0,,Tao et al. 2019,1,data from Guth et al.,Guth et al.,unknown,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.653213
Bunyaviridae,Puumala hantavirus,Nephropathia epidemica; Epidemic nephropathy,Rodentia,direct,data from Guth et al.,Guth et al.,0.001,0.01,0.0055,1,18,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,"Nephropathia epidemica virus; Puumala virus; Puumala virus PV, etc.",Virus,NA,NA,2.383815
Rhabdoviridae,New Jersey vesiculovirus,New Jersey vesiculovirus,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0,0,0,,,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0.778151
Paramyxoviridae,Newcastle disease virus,Newcastle disease,Aves,bridged,data from Guth et al.,Guth et al.,0,0,0,1,55,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Avian paramyxovirus 1; Avian paramyxovirus type 1; Avian paramyxovirus serotype I,Virus,NA,NA,3.715167
Paramyxoviridae,Nipah henipavirus,Nipah henipavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,0.651885,0.651885,0.651885,294 deaths out of 451 cases in India and Bangladesh,,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,3.237292
Paramyxoviridae,Nipah henipavirus,Nipah henipavirus,Chiroptera,bridged,data from Guth et al.,Guth et al.,0.425532,0.425532,0.425532,111 deaths out of 265 cases in Malaysia; 9 deaths out of 17 cases in the Philippines,,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,3.237292
Paramyxoviridae,Nipah henipavirus,Nipah henipavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,0.651885,0.651885,0.651885,294 deaths out of 451 cases in India and Bangladesh,,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,3.237292
Flaviviridae,Omsk hemorrhagic fever virus,Omsk hemorrhagic fever,Rodentia,direct,data from Guth et al.,Guth et al.,0.005,0.03,0.0175,1,32,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Omsk haemorrhagic fever virus OHF; Omsk haemorrhagic fever virus,Virus,NA,NA,1.568202
Bunyaviridae,Oropouche orthobunyavirus,Oropouche fever,Unknown,Unknown,NA,Sakkas et al. 2018,0,0,0,,Sakkas et al. 2018,1,NA,Sakkas et al. 2018,vector,NA,Sakkas et al. 2018,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Oropouche virus,Virus,NA,NA,0.60206
Hepeviridae,Orthohepevirus A,Orthohepevirus A,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0.01,0.04,0.025,,Guth et al. 2019,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.908485
Picornaviridae,Enterovirus C,Poliomyelitis; Polio; Infantile paralysis,Primates,not_zoonotic,NA,https://www.cdc.gov/vaccines/pubs/pinkbook/downloads/polio.pdf,0.015,0.071,0.043,CFR in India,Doshi et al. 2011,4,NA,https://www.cdc.gov/vaccines/pubs/pinkbook/downloads/polio.pdf,fecal_oral,NA,https://www.cdc.gov/vaccines/pubs/pinkbook/downloads/polio.pdf,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Poliovirus; Human enterovirus C; Enterovirus EV-C,Virus,NA,NA,1.763428
Flaviviridae,Powassan virus,Powassan virus,Rodentia,direct,data from Guth et al.,Guth et al.,0.116022,0.116022,0.116022,,,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,2.664642
Retroviridae,Primate T-lymphotropic virus 2,Primate T-lymphotropic virus 2,Primates,direct,data from Guth et al.,Guth et al.,0,0,0,,https://academic.oup.com/jid/article-lookup/doi/10.1093/infdis/166.1.100,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0
Retroviridae,Primate T-lymphotropic virus 3,Primate T-lymphotropic virus 3,Primates,direct,data from Guth et al.,Guth et al.,0,0,0,,Zheng et al. 2010,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0
Poxviridae,Pseudocowpox virus,Pseudocowpox,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0,0,0,1,17,1,data from Guth et al.,Guth et al.,skin_contact,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Pseudocowpoxvirus,Virus,NA,NA,1.662758
Rhabdoviridae,Rabies lyssavirus,Rabies,Chiroptera,direct,data from Guth et al.,Guth et al.,1,1,1,1,1,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Rabies virus,Virus,NA,NA,1.230449
Bunyaviridae,Rift Valley fever phlebovirus,Rift Valley fever,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,1,0.01,0.01,1,46,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,1.39794
Togaviridae,Ross River virus,Ross River fever; Epidemic polyarthritis,Diprotodontia,direct,data from Guth et al.,Guth et al.,0,0,0,1,1,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,2.699838
Reoviridae,Rotavirus A,Rotaviral enteritis,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0.00255,0.004,0.003275,1,18,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Group A rotavirus; Rotavirus group A; Group A rotaviruses,Virus,NA,NA,2.522444
Reoviridae,Rotavirus B,Rotaviral enteritis,Cetartiodactyla,direct,data from Guth et al.,proxied with Rotavirus A data,0.00255,0.004,0.003275,1,18,1,proxied with Rotavirus A data,Guth et al.,via_environment,proxied with Rotavirus A data,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,"Group B rotaviruses; Rotavirus group B; Rotavirus group B, etc.",Virus,NA,NA,1.39794
Reoviridae,Rotavirus C,Rotaviral enteritis,Cetartiodactyla,direct,data from Guth et al.,proxied with Rotavirus A data,0.00255,0.004,0.003275,1,18,1,proxied with Rotavirus A data,Guth et al.,via_environment,proxied with Rotavirus A data,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Group C rotavirus; Rotavirus group C; Group C rotaviruses,Virus,NA,NA,1.544068
Reoviridae,Rotavirus H,Rotaviral enteritis,Cetartiodactyla,direct,data from Guth et al.,proxied with Rotavirus A data,0.00255,0.004,0.003275,1,18,1,proxied with Rotavirus A data,Guth et al.,via_environment,proxied with Rotavirus A data,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,0.69897
Flaviviridae,St. Louis encephalitis virus,Saint Louis encephalitis,Aves,direct,data from Guth et al.,Guth et al.,0.05,0.15,0.1,1,35,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Saint Louis encephalitis virus; St. Louis encephalitis virus SLEV,Virus,NA,NA,2.553883
Poxviridae,Sealpox virus,Sealpox virus,Carnivora,direct,data from Guth et al.,Guth et al.,0,0,0,,Roess et al. 2011,1,data from Guth et al.,Guth et al.,skin_contact,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0.845098
Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome,Chiroptera,bridged,data from Guth et al.,Guth et al.,0.021937,0.021937,0.021937,5,25,1,data from Guth et al.,Guth et al.,respiratory_droplets,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,1.041393
Bunyaviridae,SFTS phlebovirus,Severe fever with thrombocytopenia syndrome,Vector,direct,NA,Luo et al. 2015,0.11,0.18,0.145,"For the confirmed SFTS cases, the case-fatality rate was 0.15 (95% CI 0.11, 0.18).",Huang et al. 2020,0,transmission through vector and occassionally through blood,Zhou et al. 2021,vector,SFTSV is transmitted through tick-bites,Zhou et al. 2021,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,0.90309
Peribunyaviridae,Shuni orthobunyavirus,Shuni orthobunyavirus,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0,0,0,,"Motlou et al. 2021. Shuni Virus in Cases of Neurologic Disease in Humans, South Africa. https://wwwnc.cdc.gov/eid/article/27/2/19-1551_article",1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.414973
Togaviridae,Sindbis virus,Sindbis fever; Pogosta disease; Ockelbo disease; Karelian fever,Aves,direct,The hypothesis is that SINV cycles between ornithophilic mosquito species and birds,https://www.ecdc.europa.eu/en/sindbis-fever/facts,0,0,0,No fatal infections have been reported,https://www.ecdc.europa.eu/en/sindbis-fever/facts,0,not transmissible from person to person,https://www.ecdc.europa.eu/en/sindbis-fever/facts,vector,mosquitoes,https://www.ecdc.europa.eu/en/sindbis-fever/facts,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Sindbis virus dsSIN,Virus,NA,NA,3.332438
Paramyxoviridae,Sosuga pararubulavirus,Sosuga pararubulavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,0,0,0,,Welch et al. 2018,1,data from Guth et al.,Guth et al.,unknown,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0
Herpesviridae,Suid alphaherpesvirus 1,Suid alphaherpesvirus 1,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0,0,0,,GIDEON,1,data from Guth et al.,Guth et al.,skin_contact,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,2.862728
Retroviridae,Primate T-lymphotropic virus 1,T-cell leukemia,Primates,direct,data from Guth et al.,Guth et al.,0,0,0,1,70,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Human T-Lymphotropic Virus 1,Virus,NA,NA,2.146128
Poxviridae,Tanapox virus,Tanapox virus,Primates,direct,data from Guth et al.,Guth et al.,0,0,0,,Arita et al. 1985,1,data from Guth et al.,Guth et al.,unknown,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.612784
Flaviviridae,Tick-borne encephalitis virus,Tick-borne encephalitis,Rodentia,direct,data from Guth et al.,Guth et al.,0.02,0.02,0.02,1,27,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Tick-borne encephalitis virus TBEV; FSME virus,Virus,NA,NA,3.270213
Togaviridae,Tonate virus,Tonate virus,Aves,direct,data from Guth et al.,Guth et al.,0.166667,0.166667,0.166667,,Talarmin et al. 2001,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.30103
Togaviridae,Venezuelan equine encephalitis virus,Venezuelan equine encephalomyelitis,Rodentia,direct,data from Guth et al.,Guth et al.,0.001949,0.001949,0.001949,7,36,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,"Venezuelan equine encephalomyelitis virus; Venezuelan equine encephalitis VEE; VEE, etc.",Virus,NA,NA,2.79588
